MODERATE D3.1 case2and3
fid;id_building;h;roof_area;municipio;id_landuse;Name;Land Use;id_pv;pv_area_m2;pv_presence
18005;17649;4,22;183,79875;1;8;I-7;Industrial;1;8;1
18006;17649;4,22;183,79875;1;8;I-7;Industrial;1;3;1
18007;17649;4,22;183,79875;1;8;I-7;Industrial;1;5;1
18008;17649;4,22;183,79875;1;8;I-7;Industrial;1;5;1
18009;17649;4,22;183,79875;1;8;I-7;Industrial;1;8;1
18010;17649;4,22;183,79875;1;8;I-7;Industrial;1;7;1
18011;17649;4,22;183,79875;1;8;I-7;Industrial;1;7;1
18012;17649;4,22;183,79875;1;8;I-7;Industrial;1;7;1
3287;2953;3,28;224,55405;1;999;999;999;2;9;1
3288;2953;3,28;224,55405;1;999;999;999;2;9;1
701;650;7,70;12640,58665;1;13;Este_Su;Industrial;3;28;1
702;650;7,70;12640,58665;1;13;Este_Su;Industrial;4;106;1
752;691;8,65;5563,14845;1;13;Este_Su;Industrial;6;57;1
753;691;8,65;5563,14845;1;13;Este_Su;Industrial;6;165;1
754;691;8,65;5563,14845;1;13;Este_Su;Industrial;6;59;1
755;691;8,65;5563,14845;1;13;Este_Su;Industrial;6;367;1
756;691;8,65;5563,14845;1;13;Este_Su;Industrial;6;412;1
750;691;8,65;5563,14845;1;13;Este_Su;Industrial;7;374;1
751;691;8,65;5563,14845;1;13;Este_Su;Industrial;7;260;1
778;707;6,63;4854,3182;1;7;Faima;Industrial;8;144;1
779;707;6,63;4854,3182;1;7;Faima;Industrial;8;133;1
780;707;6,63;4854,3182;1;7;Faima;Industrial;8;22;1
781;707;6,63;4854,3182;1;7;Faima;Industrial;8;20;1
782;707;6,63;4854,3182;1;7;Faima;Industrial;8;20;1
934;772;7,14;3137,6013;1;7;Faima;Industrial;8;181;1
48;44;12,58;4197;999;1;Centro;Residential;9;29;1
49;44;12,58;4197;999;1;Centro;Residential;9;31;1
50;44;12,58;4197;999;1;Centro;Residential;9;17;1
1319;1051;3,75;1055,19905;1;999;999;999;10;9;1
1320;1051;3,75;1055,19905;1;999;999;999;10;9;1
1321;1051;3,75;1055,19905;1;999;999;999;10;9;1
1322;1051;3,75;1055,19905;1;999;999;999;10;12;1
1323;1051;3,75;1055,19905;1;999;999;999;10;6;1
1324;1051;3,75;1055,19905;1;999;999;999;10;6;1
1325;1051;3,75;1055,19905;1;999;999;999;10;7;1
6339;5989;6,11;129,5008;1;13;Este_Su;Industrial;15;45;1
18023;17660;6,26;130,3504;1;13;Este_Su;Industrial;15;13;1
18024;17660;6,26;130,3504;1;13;Este_Su;Industrial;15;22;1
703;651;10,14;11918,95815;1;11;Ceramica;Industrial;16;701;1
1124;887;8,06;1883,2567;1;27;Cachapets;Industrial;17;557;1
1125;887;8,06;1883,2567;1;27;Cachapets;Industrial;17;440;1
1145;907;8,22;1729,87205;1;27;Cachapets;Industrial;17;118;1
1146;907;8,22;1729,87205;1;27;Cachapets;Industrial;17;121;1
1147;907;8,22;1729,87205;1;27;Cachapets;Industrial;17;234;1
1148;907;8,22;1729,87205;1;27;Cachapets;Industrial;17;230;1
1229;975;9,24;1333,0067;1;27;Cachapets;Industrial;17;140;1
895;742;8,14;3803,1419;1;8;I-7;Industrial;18;31;1
896;742;8,14;3803,1419;1;8;I-7;Industrial;18;37;1
897;742;8,14;3803,1419;1;8;I-7;Industrial;18;69;1
898;742;8,14;3803,1419;1;8;I-7;Industrial;18;15;1
784;709;7,63;4809,8176;1;25;I-8;Industrial;19;11;1
785;709;7,63;4809,8176;1;25;I-8;Industrial;19;11;1
786;709;7,63;4809,8176;1;25;I-8;Industrial;19;21;1
787;709;7,63;4809,8176;1;25;I-8;Industrial;19;5;1
765;700;7,69;5097,2473;1;25;I-8;Industrial;20;13;1
766;700;7,69;5097,2473;1;25;I-8;Industrial;20;14;1
767;700;7,69;5097,2473;1;25;I-8;Industrial;20;13;1
768;700;7,69;5097,2473;1;24;I-1;Industrial;20;13;1
769;700;7,69;5097,2473;1;24;I-1;Industrial;20;14;1
770;700;7,69;5097,2473;1;24;I-1;Industrial;20;13;1
19754;19332;14,56;1174;999;1;Centro;Residential;23;5;1
2166;1837;6,20;335,26195;1;999;999;999;24;27;1
18217;17853;4,01;198,51255;1;999;999;999;26;5;1
9328;8975;1,56;52,98919999;1;999;999;999;27;6;1
280;260;11,41;1258;999;1;Centro;Residential;28;9;1
123;113;13,09;2760;999;1;Centro;Residential;29;3;1
124;113;13,09;2760;999;1;Centro;Residential;29;6;1
135;124;8,21;2451;999;1;Centro;Residential;31;3;1
136;124;8,21;2451;999;1;Centro;Residential;31;2;1
137;124;8,21;2451;999;1;Centro;Residential;31;3;1
138;124;8,21;2451;999;1;Centro;Residential;31;5;1
19719;19316;4,16;1407;999;1;Centro;Residential;34;7;1
19720;19316;4,16;1407;999;1;Centro;Residential;34;8;1
19721;19316;4,16;1407;999;1;Centro;Residential;34;7;1
19722;19316;4,16;1407;999;1;Centro;Residential;34;8;1
19723;19316;4,16;1407;999;1;Centro;Residential;34;7;1
19724;19316;4,16;1407;999;1;Centro;Residential;34;4;1
19725;19316;4,16;1407;999;1;Centro;Residential;34;4;1
19726;19316;4,16;1407;999;1;Centro;Residential;34;5;1
19727;19316;4,16;1407;999;1;Centro;Residential;34;8;1
19728;19316;4,16;1407;999;1;Centro;Residential;34;6;1
19729;19316;4,16;1407;999;1;Centro;Residential;34;7;1
19730;19316;4,16;1407;999;1;Centro;Residential;34;5;1
19731;19316;4,16;1407;999;1;Centro;Residential;34;5;1
19732;19316;4,16;1407;999;1;Centro;Residential;34;7;1
19733;19316;4,16;1407;999;1;Centro;Residential;34;3;1
19734;19316;4,16;1407;999;1;Centro;Residential;34;5;1
19735;19316;4,16;1407;999;1;Centro;Residential;34;5;1
19736;19316;4,16;1407;999;1;Centro;Residential;34;4;1
19737;19316;4,16;1407;999;1;Centro;Residential;34;11;1
19738;19316;4,16;1407;999;1;Centro;Residential;34;11;1
181;167;12,40;1984;999;1;Centro;Residential;37;10;1
19860;19438;9,26;688;999;1;Centro;Residential;38;3;1
19861;19438;9,26;688;999;1;Centro;Residential;38;3;1
5016;4668;2,85;166,54115;1;999;999;999;42;11;1
5017;4668;2,85;166,54115;1;999;999;999;42;1;1
18699;18335;6,61;12834,70883;1;14;Este_Suz;Industrial;44;71;1
18700;18335;6,61;12834,70883;1;14;Este_Suz;Industrial;44;26;1
3385;3050;4,45;220,58675;1;999;999;999;46;13;1
3386;3050;4,45;220,58675;1;999;999;999;46;4;1
3387;3050;4,45;220,58675;1;999;999;999;46;16;1
4292;3945;6,32;187,18525;1;999;999;999;47;18;1
3314;2979;3,72;223,2744;1;999;999;999;50;22;1
11473;11119;0,00;33,9588;1;999;999;999;52;42;1
9917;9564;1,96;46,1874;1;999;999;999;53;12;1
75;69;10,58;1879;999;1;Centro;Residential;54;2;1
76;69;10,58;1879;999;1;Centro;Residential;54;1;1
77;69;10,58;1879;999;1;Centro;Residential;54;2;1
78;69;10,58;1879;999;1;Centro;Residential;54;2;1
4242;3897;3,73;188,8788;1;999;999;999;56;4;1
4243;3897;3,73;188,8788;1;999;999;999;56;4;1
4244;3897;3,73;188,8788;1;999;999;999;56;4;1
2475;2143;7,18;287,99555;1;999;999;999;57;20;1
2051;1722;6,71;361,2094;1;999;999;999;58;13;1
4134;3789;7,49;191,9759;1;999;999;999;59;22;1
2315;1984;4,47;308,97575;1;999;999;999;61;20;1
4428;4081;6,98;183,18305;1;999;999;999;61;2;1
8978;8625;3,87;57,4406;1;999;999;999;62;17;1
4579;4231;3,34;178,88915;1;999;999;999;63;22;1
3840;3495;3,86;201,88285;1;999;999;999;65;5;1
2731;2399;7,50;260,63115;1;999;999;999;66;48;1
3534;3195;4,72;214,2998;1;999;999;999;67;0;1
3535;3195;4,72;214,2998;1;999;999;999;67;1;1
3536;3195;4,72;214,2998;1;999;999;999;67;1;1
3537;3195;4,72;214,2998;1;999;999;999;67;1;1
3538;3195;4,72;214,2998;1;999;999;999;67;1;1
3539;3195;4,72;214,2998;1;999;999;999;67;1;1
